,m,n,p,H,K,rec,exp,err,time
18,3,190,0.5,0-1-1,2,187247.79365079363924451172351837158203125,187529.9999999999895899938096,-0.001507127767457965076745448,4.162737131118774
19,3,200,0.5,0-1-1,2,216732.14285714286961592733860015869140625,218899.9999999999878486089955,-0.010002471780505776884199304,4.6254658699035645
20,3,210,0.5,0-1-1,2,251195.5079365079291164875030517578125,253586.6666666666525897788631,-0.009519114214268161784692127,5.104791164398193
21,3,220,0.5,0-1-1,2,293235.1587301587569527328014373779296875,291756.6666666666504709182206,0.0050420013408168642937751929,5.799003839492798
22,3,230,0.5,0-1-1,2,333857.6666666666860692203044891357421875,333576.6666666666481494418760,0.0008416760435835567755353746,6.379626035690308
23,3,240,0.5,0-1-1,2,378734.20634920638985931873321533203125,379213.3333333333122827646378,-0.001265074493126586846496938,7.098098993301392
24,3,250,0.5,0-1-1,2,431184.96825396828353404998779296875,428833.3333333333095283013136,0.0054538889195456813751129725,7.73909592628479
25,3,260,0.5,0-1-1,2,479189.6666666666860692203044891357421875,482603.3333333333065434667120,-0.007123831969108864345348033,8.474045038223267
26,3,270,0.5,0-1-1,2,539034.253968254080973565578460693359375,540689.9999999999699856756406,-0.003071689822226775644727016,9.031939029693604
27,3,280,0.5,0-1-1,2,605026.634920634911395609378814697265625,603259.9999999999665123429082,0.0029199291711623329122598281,9.954823970794678
28,3,290,0.5,0-1-1,2,667065.5079365079291164875030517578125,670479.9999999999627808833226,-0.005118675786512153151625355,10.217944145202637
29,3,300,0.5,0-1-1,2,743485.206349206506274640560150146484375,742516.6666666666254487116916,0.0013027020232127776913503626,11.084450244903564
30,3,310,0.5,0-1-1,2,819007.253968254080973565578460693359375,819536.6666666666211732428238,-0.000646407825873860953831662,12.872046709060669
31,3,320,0.5,0-1-1,2,902530.126984126982279121875762939453125,901706.6666666666166118915271,0.0009123909472274581088904292,15.979647874832153
32,3,330,0.5,0-1-1,2,989295.015873015858232975006103515625,989193.3333333332784220726098,0.0001027828282272793741975396,15.096002101898193
33,3,340,0.5,0-1-1,2,1081659.69841269846074283123016357421875,1082163.333333333273261200880,-0.000465613095665744875045434,14.330257892608643
34,3,350,0.5,0-1-1,2,1171157.76190476189367473125457763671875,1180783.333333333267786691145,-0.008218851244187990055455427,15.375347137451172
35,3,360,0.5,0-1-1,2,1277932.71428571431897580623626708984375,1285219.999999999928655958215,-0.005702401724928650550836064,16.68476700782776
36,3,370,0.5,0-1-1,2,1408691.03174603171646595001220703125,1395639.999999999922526416896,0.0092646516886356678576745241,17.759051084518433
37,3,380,0.5,0-1-1,2,1511611.42857142840512096881866455078125,1512209.999999999916055481996,-0.000395982338620712900762134,18.41730499267578
38,3,390,0.5,0-1-1,2,1638449.126984126865863800048828125,1635096.666666666575900568326,0.0020461180406810203447653040,20.271865129470825
39,3,400,0.5,0-1-1,2,1770869.46031746012158691883087158203125,1764466.666666666568719090690,0.0036156214753659692310952076,20.779807090759277
40,3,410,0.5,0-1-1,2,1899654.61904761870391666889190673828125,1900486.666666666561168463901,-0.000437999418791716836372925,21.409061193466187
41,3,420,0.5,0-1-1,2,2040358.015873015858232975006103515625,2043323.333333333219906102762,-0.001453331933537448254086512,22.97534966468811
42,3,430,0.5,0-1-1,2,2188037.380952380597591400146484375,2193143.333333333211589422085,-0.002333576393804643829971994,23.836183071136475
43,3,440,0.5,0-1-1,2,2353003.888888888992369174957275390625,2350113.333333333202875836675,0.0012284533694165450591151304,26.047043085098267
44,3,450,0.5,0-1-1,2,2518390.047619047574698925018310546875,2514399.999999999860422761345,0.0015843644326739658992456368,28.619962215423584
45,3,460,0.5,0-1-1,2,2674963.126984126865863800048828125,2686169.999999999850887610898,-0.004189542989517061182897131,29.91572403907776
46,3,470,0.5,0-1-1,2,2865160.8888888885267078876495361328125,2865589.999999999840927800144,-0.000149768591626183973356955,29.616209030151367
47,3,480,0.5,0-1-1,2,3055449.2857142859138548374176025390625,3052826.666666666497200743891,0.0008583415407617591604865876,30.81551504135132
48,3,490,0.5,0-1-1,2,3226052.4761904762126505374908447265625,3248046.666666666486363856948,-0.006817679079468163004300603,37.65018892288208
49,3,500,0.5,0-1-1,2,3438596.3968253969214856624603271484375,3451416.666666666475074554121,-0.003728343882726558300577378,40.45544123649597
