File A,File B,Similarity,n
UCSB37,Cal65,5.815305258609e+27,7.0
UCSB37,Cal65,1.5894389005511518e+30,8.0
UCSB37,BU10,443866101570000.0,3.0
UCSB37,BU10,3.32804786959e+17,4.0
UCSB37,BU10,3.26669275091e+21,5.0
UCSB37,BU10,7.85884276715401e+24,6.0
UCSB37,BU10,2.2408431917643e+29,7.0
UCSB37,BU10,3.531561277121309e+33,8.0
UCSB37,Princeton12,268925408380000.0,3.0
UCSB37,Princeton12,3.86817066983e+17,4.0
UCSB37,Princeton12,2.20793265911e+21,5.0
UCSB37,Princeton12,2.71458272661e+24,6.0
UCSB37,Princeton12,2.5884288979569998e+28,7.0
UCSB37,Princeton12,1.253800764018408e+31,8.0
UCSB37,Maryland58,628584354660000.0,3.0
UCSB37,Maryland58,-9.890689487e+16,4.0
UCSB37,Maryland58,2.472291213333e+22,5.0
UCSB37,Maryland58,2.5203892829400405e+26,6.0
UCSB37,Maryland58,1.8008311185553317e+31,7.0
UCSB37,Maryland58,6.777323652175084e+35,8.0
UCSB37,Amherst41,68217055818000.0,3.0
UCSB37,Amherst41,9.4596727071e+16,4.0
UCSB37,Amherst41,4.31167084143e+20,5.0
UCSB37,Amherst41,5.173439345212e+23,6.0
UCSB37,Amherst41,3.92885587188e+27,7.0
UCSB37,Amherst41,1.7131807884206106e+30,8.0
UCSB37,Vassar85,83806256851000.0,3.0
UCSB37,Vassar85,1.09060824839e+17,4.0
UCSB37,Vassar85,4.71906035535e+20,5.0
UCSB37,Vassar85,5.27477526105e+23,6.0
UCSB37,Vassar85,3.7857628649279997e+27,7.0
UCSB37,Vassar85,1.5616552076090162e+30,8.0
UCSB37,USFCA72,33985245632000.0,3.0
UCSB37,USFCA72,2.4675868756e+16,4.0
UCSB37,USFCA72,8.75650632448e+19,5.0
UCSB37,USFCA72,5.18082909465e+22,6.0
UCSB37,USFCA72,3.2761656539269995e+26,7.0
UCSB37,USFCA72,1.051228637378962e+29,8.0
UCSB37,Wesleyan43,98143227859000.0,3.0
UCSB37,Wesleyan43,1.2710203177e+17,4.0
UCSB37,Wesleyan43,5.4839047825099994e+20,5.0
UCSB37,Wesleyan43,6.189271680018e+23,6.0
UCSB37,Wesleyan43,4.4198464357739995e+27,7.0
UCSB37,Wesleyan43,1.87370834587797e+30,8.0
UCSB37,Yale4,412579758200000.0,3.0
UCSB37,Yale4,4.58747207779e+17,4.0
UCSB37,Yale4,6.91868083415e+21,5.0
UCSB37,Yale4,2.9756128423865004e+25,6.0
UCSB37,Yale4,1.2507112857654002e+30,7.0
UCSB37,Yale4,3.5302045172054807e+34,8.0
UCSB37,MU78,534261398740000.0,3.0
UCSB37,MU78,7.14523218283e+17,4.0
UCSB37,MU78,3.78435823032e+21,5.0
UCSB37,MU78,4.2508074923860004e+24,6.0
UCSB37,MU78,3.820546651232e+28,7.0
UCSB37,MU78,1.7364409262450398e+31,8.0
UCSB37,UIllinois20,1158084506840000.0,3.0
UCSB37,UIllinois20,1.5970884971e+17,4.0
UCSB37,UIllinois20,5.203779579715e+22,5.0
UCSB37,UIllinois20,6.909322220780701e+26,6.0
UCSB37,UIllinois20,6.364634962458155e+31,7.0
UCSB37,Hamilton46,72636549859000.0,3.0
UCSB37,Hamilton46,1.01533816497e+17,4.0
UCSB37,Hamilton46,4.7365983138e+20,5.0
UCSB37,Hamilton46,5.791752476174e+23,6.0
UCSB37,Hamilton46,4.4968568013510003e+27,7.0
UCSB37,Hamilton46,2.3396657775845477e+30,8.0
UCSB37,Middlebury45,92623989368000.0,3.0
UCSB37,Middlebury45,1.27716723319e+17,4.0
UCSB37,Middlebury45,5.7676882141999995e+20,5.0
UCSB37,Middlebury45,6.895921354570001e+23,6.0
UCSB37,Middlebury45,5.224534503789e+27,7.0
UCSB37,Middlebury45,2.22750822929508e+30,8.0
UCSB37,UConn91,450710393500000.0,3.0
UCSB37,UConn91,3.8725263554e+17,4.0
UCSB37,UConn91,3.2015703683099997e+21,5.0
UCSB37,UConn91,5.995855018029999e+24,6.0
UCSB37,UConn91,1.4601407044794002e+29,7.0
UCSB37,UConn91,1.785279791767847e+33,8.0
UCSB37,American75,156392717509000.0,3.0
UCSB37,American75,1.54665203955e+17,4.0
UCSB37,American75,8.2364917802e+20,5.0
UCSB37,American75,8.08811695749e+23,6.0
UCSB37,American75,8.32543496969689e+27,7.0
UCSB37,American75,2.593208831639225e+31,8.0
UCSB37,Villanova62,257188639880000.0,3.0
UCSB37,Villanova62,3.14022354461e+17,4.0
UCSB37,Villanova62,1.87394339538e+21,5.0
UCSB37,Villanova62,2.3994499246900002e+24,6.0
UCSB37,Villanova62,3.0645116490550007e+28,7.0
UCSB37,Villanova62,1.2354327351393256e+32,8.0
UCSB37,Bowdoin47,57357495244000.0,3.0
UCSB37,Bowdoin47,7.16994116019e+16,4.0
UCSB37,Bowdoin47,3.05676314197e+20,5.0
UCSB37,Bowdoin47,3.388614311502e+23,6.0
UCSB37,Bowdoin47,2.420039468216e+27,7.0
UCSB37,Bowdoin47,1.828892240727232e+30,8.0
UCSB37,Williams40,84058366335000.0,3.0
UCSB37,Williams40,1.14294111569e+17,4.0
UCSB37,Williams40,5.25331364141e+20,5.0
UCSB37,Williams40,6.189495206734e+23,6.0
UCSB37,Williams40,4.801015315505e+27,7.0
UCSB37,Williams40,2.4943471376763323e+30,8.0
UCSB37,UNC28,817705282170000.0,3.0
UCSB37,UNC28,-2.964818724e+17,4.0
UCSB37,UNC28,3.8672845553735e+22,5.0
UCSB37,UNC28,3.266887257219101e+26,6.0
UCSB37,UNC28,2.591310135066895e+31,7.0
UCSB37,UNC28,8.276953395659218e+35,8.0
UCSB37,Tennessee95,904148892560000.0,3.0
UCSB37,Tennessee95,-7.055828854099999e+17,4.0
UCSB37,Tennessee95,7.51814260995e+22,5.0
UCSB37,Tennessee95,1.0712261867404538e+27,6.0
UCSB37,Tennessee95,1.0011401558918244e+32,7.0
UCSB37,Tennessee95,4.828842605224673e+36,8.0
UCSB37,Reed98,7669673243600.0,3.0
UCSB37,Reed98,4685449258770000.0,4.0
UCSB37,Reed98,1.2000756061700002e+19,5.0
UCSB37,Reed98,6.70126915835e+21,6.0
UCSB37,Reed98,2.7364345829080004e+25,7.0
UCSB37,Reed98,8.788917375857322e+27,8.0
UCSB37,Baylor93,782236213270000.0,3.0
UCSB37,Baylor93,1.05430688524e+18,4.0
UCSB37,Baylor93,1.1795522020699999e+22,5.0
UCSB37,Baylor93,2.625725478971e+25,6.0
UCSB37,Baylor93,7.989391128277001e+29,7.0
UCSB37,Baylor93,1.265662781215031e+34,8.0
UCSB37,UVA16,803149840920000.0,3.0
UCSB37,UVA16,5.28158473277e+17,4.0
UCSB37,UVA16,2.064169697755e+22,5.0
UCSB37,UVA16,1.3426280271762e+26,6.0
UCSB37,UVA16,7.700547847690059e+30,7.0
UCSB37,UVA16,2.3887900475425694e+35,8.0
UCSB37,Emory27,291112521620000.0,3.0
UCSB37,Emory27,4.15180630176e+17,4.0
UCSB37,Emory27,2.37384781292e+21,5.0
UCSB37,Emory27,3.0846157719730004e+24,6.0
UCSB37,Emory27,3.166724331918e+28,7.0
UCSB37,Emory27,6.003732077242059e+31,8.0
UCSB37,Indiana69,1213269498510000.0,3.0
UCSB37,Indiana69,1.45907908009e+18,4.0
UCSB37,Indiana69,1.08486054948e+22,5.0
UCSB37,Indiana69,1.11432267382e+25,6.0
UCSB37,Indiana69,1.960469257085e+29,7.0
UCSB37,UC33,376434207840000.0,3.0
UCSB37,UC33,2.57199510722e+17,4.0
UCSB37,UC33,2.2293979937e+21,5.0
UCSB37,UC33,2.2725090318108001e+24,6.0
UCSB37,UC33,6.195214272986002e+28,7.0
UCSB37,UC33,5.1299062095305276e+32,8.0
UCSB37,Auburn71,1291552820250000.0,3.0
UCSB37,Auburn71,-8.211000548699999e+17,4.0
UCSB37,Auburn71,1.0866024497804501e+23,5.0
UCSB37,Auburn71,1.5124969974857304e+27,6.0
UCSB37,Auburn71,1.440654031224115e+32,7.0
UCSB37,Auburn71,6.787579040090655e+36,8.0
UCSB37,NotreDame57,485685963630000.0,3.0
UCSB37,NotreDame57,6.12207640353e+17,4.0
UCSB37,NotreDame57,4.4866254982500005e+21,5.0
UCSB37,NotreDame57,6.366734095498999e+24,6.0
