File A,File B,Iterations,Similarity,n
Mich67,WashU32,1000.0,0.8848587370512764,5.0
Mich67,USC35,1000.0,0.4420585201695808,5.0
Mich67,JohnsHopkins55,1000.0,0.9971588640196439,5.0
Mich67,Cal65,1000.0,0.9931973528704012,5.0
Mich67,BU10,1000.0,0.7311145603196251,5.0
Mich67,Princeton12,1000.0,0.9943526092638215,5.0
Mich67,Maryland58,1000.0,0.4319332658989687,5.0
Mich67,Amherst41,1000.0,0.9927764482846605,5.0
Mich67,Vassar85,1000.0,0.9927236043760617,5.0
Mich67,USFCA72,1000.0,0.9983486611261174,5.0
Mich67,Wesleyan43,1000.0,0.9936194912789375,5.0
Mich67,Yale4,1000.0,0.6577869096291286,5.0
Mich67,MU78,1000.0,0.9942762167925392,5.0
Mich67,UIllinois20,1000.0,0.4469179907698006,5.0
Mich67,Hamilton46,1000.0,0.9958625490004286,5.0
Mich67,Middlebury45,1000.0,0.9928418254557458,5.0
Mich67,UConn91,1000.0,0.8561404315508199,5.0
Mich67,American75,1000.0,0.9914199096626009,5.0
Mich67,Villanova62,1000.0,0.984354435231563,5.0
Mich67,Bowdoin47,1000.0,0.998623879216493,5.0
Mich67,Williams40,1000.0,0.996501480126429,5.0
Mich67,UNC28,1000.0,0.45102426504217663,5.0
Mich67,Tennessee95,1000.0,0.4299053015556448,5.0
Mich67,Reed98,1000.0,0.9985377996759189,5.0
Mich67,Baylor93,1000.0,0.8948023951090097,5.0
Mich67,UVA16,1000.0,0.5311813688552848,5.0
Mich67,Emory27,1000.0,0.9995843885490122,5.0
Mich67,Indiana69,1000.0,0.9951679644689999,5.0
Mich67,UC33,1000.0,0.909301764193748,5.0
Mich67,Auburn71,1000.0,0.4391656474904674,5.0
Mich67,NotreDame57,1000.0,0.9521727128845532,5.0
Mich67,Wisconsin87,1000.0,0.42739996202259967,5.0
Mich67,Texas80,1000.0,0.9679779624437495,5.0
Mich67,Howard90,1000.0,0.9991858179844452,5.0
Mich67,JMU79,1000.0,0.42926312081374773,5.0
Mich67,Mississippi66,1000.0,0.9943929594162493,5.0
Mich67,Simmons81,1000.0,0.9967160189167555,5.0
Mich67,Colgate88,1000.0,0.9957112319997656,5.0
Mich67,Santa74,1000.0,0.9886110240288454,5.0
Mich67,Temple83,1000.0,0.6741728391063813,5.0
Mich67,Texas84,1000.0,0.419317524439264,5.0
Mich67,Oklahoma97,1000.0,0.7353682928021051,5.0
Mich67,Wellesley22,1000.0,0.9971374249633144,5.0
Mich67,Michigan23,1000.0,0.8699952537418733,5.0
Mich67,Northeastern19,1000.0,0.9361270477390705,5.0
Mich67,Northwestern25,1000.0,0.7427036469384193,5.0
Mich67,Georgetown15,1000.0,0.9920331089507567,5.0
Mich67,UCLA26,1000.0,0.9982972943367521,5.0
Mich67,Cornell5,1000.0,0.4907466590823723,5.0
Mich67,UF21,1000.0,0.40440786088050945,5.0
Mich67,William77,1000.0,0.9556497573188597,5.0
Mich67,Harvard1,1000.0,0.9982197630969716,5.0
Mich67,Carnegie49,1000.0,0.9981846001637162,5.0
Mich67,Vermont70,1000.0,0.9558873103981246,5.0
Mich67,Bingham82,1000.0,0.9940893920687113,5.0
Mich67,UChicago30,1000.0,0.6486362384394645,5.0
Mich67,BC17,1000.0,0.9772379260341908,5.0
Mich67,Smith60,1000.0,0.9910211222808633,5.0
Mich67,Columbia2,1000.0,0.46305838796436327,5.0
Mich67,Dartmouth6,1000.0,0.9998487655200876,5.0
Mich67,UMass92,1000.0,0.4173177670617336,5.0
Mich67,Tufts18,1000.0,0.9995696259239838,5.0
Mich67,Berkeley13,1000.0,0.4530202139542463,5.0
Mich67,Virginia63,1000.0,0.40241194772363276,5.0
Mich67,Pepperdine86,1000.0,0.9960392471302786,5.0
Mich67,Rutgers89,1000.0,0.8318507112562782,5.0
Mich67,Bucknell39,1000.0,0.9914855691637089,5.0
Brown11,Wake73,1000.0,0.9927665557356258,5.0
Brown11,MSU24,1000.0,0.46931334449288337,5.0
Brown11,Stanford3,1000.0,0.998436047734854,5.0
Brown11,Duke14,1000.0,0.9784181715006899,5.0
Brown11,UCSC68,1000.0,0.9871764111738913,5.0
Brown11,Rice31,1000.0,0.9836146880041526,5.0
Brown11,Tulane29,1000.0,0.9963299830741261,5.0
Brown11,Lehigh96,1000.0,0.9992543529252818,5.0
Brown11,NYU9,1000.0,0.5958693382820521,5.0
Brown11,Penn94,1000.0,0.49398352207358115,5.0
Brown11,Syracuse56,1000.0,0.9586505207929674,5.0
Brown11,UC61,1000.0,0.9951999406198867,5.0
Brown11,Trinity100,1000.0,0.9798725197600141,5.0
Brown11,UCSD34,1000.0,0.6019031274859974,5.0
Brown11,Maine59,1000.0,0.9606112982619953,5.0
Brown11,MIT8,1000.0,0.9952925247428079,5.0
Brown11,UGA50,1000.0,0.794181816760739,5.0
Brown11,Brandeis99,1000.0,0.5365243455564122,5.0
Brown11,UCF52,1000.0,0.4667225852787016,5.0
Brown11,UPenn7,1000.0,0.9900423308311771,5.0
Brown11,FSU53,1000.0,0.7616074546160402,5.0
Brown11,Caltech36,1000.0,0.9834801973414385,5.0
Brown11,Rochester38,1000.0,0.9218943642600166,5.0
Brown11,Oberlin44,1000.0,0.9954449583273485,5.0
Brown11,Vanderbilt48,1000.0,0.8404025384092856,5.0
Brown11,USF51,1000.0,0.9787443072048271,5.0
Brown11,GWU54,1000.0,0.7116950257096604,5.0
Brown11,WashU32,1000.0,0.9142372559567659,5.0
Brown11,USC35,1000.0,0.5013924493572867,5.0
Brown11,JohnsHopkins55,1000.0,0.9998834401656406,5.0
Brown11,Cal65,1000.0,0.9831930969568315,5.0
Brown11,BU10,1000.0,0.775329230190908,5.0
Brown11,Princeton12,1000.0,0.9850649208340924,5.0
Brown11,Maryland58,1000.0,0.4916050752634623,5.0
Brown11,Amherst41,1000.0,0.9826568807426691,5.0
Brown11,Vassar85,1000.0,0.9826259271562183,5.0
Brown11,USFCA72,1000.0,0.9923914431093527,5.0
Brown11,Wesleyan43,1000.0,0.9839685220855146,5.0
Brown11,Yale4,1000.0,0.7069662257379355,5.0
Brown11,MU78,1000.0,0.9849940677108703,5.0
Brown11,UIllinois20,1000.0,0.5060180776942886,5.0
Brown11,Hamilton46,1000.0,0.9876814608282964,5.0
Brown11,Middlebury45,1000.0,0.9829562208145511,5.0
Brown11,UConn91,1000.0,0.8889736535729885,5.0
Brown11,American75,1000.0,0.9979255004618769,5.0
Brown11,Villanova62,1000.0,0.9939656285193885,5.0
Brown11,Bowdoin47,1000.0,0.9932929042017578,5.0
Brown11,Williams40,1000.0,0.9887828973879477,5.0
Brown11,UNC28,1000.0,0.5100323859990258,5.0
Brown11,Tennessee95,1000.0,0.489618856793506,5.0
Brown11,Reed98,1000.0,0.9930994929614798,5.0
Brown11,Baylor93,1000.0,0.9228693675190504,5.0
Brown11,UVA16,1000.0,0.5869997961231342,5.0
Brown11,Emory27,1000.0,0.9964338892630032,5.0
Brown11,Indiana69,1000.0,0.9994194780328146,5.0
Brown11,UC33,1000.0,0.9351981676368866,5.0
Brown11,Auburn71,1000.0,0.4985946346099618,5.0
Brown11,NotreDame57,1000.0,0.9706242913544015,5.0
Brown11,Wisconsin87,1000.0,0.4872316596358305,5.0
Brown11,Texas80,1000.0,0.9825929558941685,5.0
Brown11,Howard90,1000.0,0.9994661641311297,5.0
Brown11,JMU79,1000.0,0.4890038431742009,5.0
Brown11,Mississippi66,1000.0,0.9992328372901418,5.0
Brown11,Simmons81,1000.0,0.9893203976871923,5.0
Brown11,Colgate88,1000.0,0.9875970119494224,5.0
Brown11,Santa74,1000.0,0.9964400886053679,5.0
Brown11,Temple83,1000.0,0.722331449762174,5.0
Brown11,Texas84,1000.0,0.4793444980815987,5.0
Brown11,Oklahoma97,1000.0,0.779360376973814,5.0
Brown11,Wellesley22,1000.0,0.9998117805241188,5.0
Brown11,Michigan23,1000.0,0.9011293275147546,5.0
Brown11,Northeastern19,1000.0,0.9576306972849973,5.0
Brown11,Northwestern25,1000.0,0.7861202385834309,5.0
Brown11,Georgetown15,1000.0,0.9981630497992324,5.0
Brown11,UCLA26,1000.0,0.9997996723965549,5.0
Brown11,Cornell5,1000.0,0.5482541301300499,5.0
Brown11,UF21,1000.0,0.4649229573384334,5.0
Brown11,William77,1000.0,0.9733318043357415,5.0
Brown11,Harvard1,1000.0,0.9921237638986378,5.0
Brown11,Carnegie49,1000.0,0.9998885851974919,5.0
Brown11,Vermont70,1000.0,0.9734851515578736,5.0
Brown11,Bingham82,1000.0,0.9847440275065588,5.0
Brown11,UChicago30,1000.0,0.6983504339335764,5.0
Brown11,BC17,1000.0,0.9893000845531162,5.0
Brown11,Smith60,1000.0,0.9801366394738642,5.0
