,m,n,p,H,K,rec,exp,err
37,3,380,0.5,0-1-1,2,1511570.142857142724096775054931640625,1512209.999999999916055481996,-0.000423306285772319823841008
38,3,390,0.5,0-1-1,2,1634889.20634920638985931873321533203125,1635096.666666666575900568326,-0.000126895643236556588891002
39,3,400,0.5,0-1-1,2,1764357.63492063502781093120574951171875,1764466.666666666568719090690,-0.000061796851088212290660375
40,3,410,0.5,0-1-1,2,1907559.69841269846074283123016357421875,1900486.666666666561168463901,0.0037078953554729886459197639
41,3,420,0.5,0-1-1,2,2030799.23809523810632526874542236328125,2043323.333333333219906102762,-0.006167076982873957946316183
42,3,430,0.5,0-1-1,2,2193523.6031746030785143375396728515625,2193143.333333333211589422085,0.0001733602687108161873316635
43,3,440,0.5,0-1-1,2,2356563.6507936506532132625579833984375,2350113.333333333202875836675,0.0027371709048236795390000320
44,3,450,0.5,0-1-1,2,2513996.5238095237873494625091552734375,2514399.999999999860422761345,-0.000160491944461671408039232
45,3,460,0.5,0-1-1,2,2687627.079365079291164875030517578125,2686169.999999999850887610898,0.0005421434306368346193826779
46,3,470,0.5,0-1-1,2,2866241.25396825373172760009765625,2865589.999999999840927800144,0.0002272153355382219471737299
47,3,480,0.5,0-1-1,2,3043478.6031746030785143375396728515625,3052826.666666666497200743891,-0.003071506230506304710460283
48,3,490,0.5,0-1-1,2,3242369.8888888885267078876495361328125,3248046.666666666486363856948,-0.001750811280733706220532962
49,3,500,0.5,0-1-1,2,3454872.4285714286379516124725341796875,3451416.666666666475074554121,0.0010002574555816817910054436
